ticker,strategy,basket,period_months,price_then,price_now,actual_return,upside,growth,accel,valuation,long_term,cash_runway,conviction,entry,momentum,profitability,fragility,downside
CCJ,hold_forever,Nuclear,12,69.23,102.27,47.74,0.0,42.4,21.1,71.7,100.0,80.0,100.0,0.0,100.0,5.0,-5.0,-5.0
GEV,hold_forever,Nuclear,12,486.81,920.15,89.02,0.0,10.2,38.4,96.8,50.0,80.0,100.0,1.5,100.0,5.0,0.0,0.0
SRUUF,cycle,Nuclear,12,17.17,18.46,7.52,50.0,50.0,50.0,50.0,75.0,80.0,24.0,43.7,60.0,5.0,-5.0,-5.0
LEU,cycle,Nuclear,12,169.93,156.02,-8.19,0.0,72.5,98.4,81.6,100.0,80.0,100.0,0.0,100.0,5.0,-5.0,-5.0
SMR,catalyst,Nuclear,12,42.49,10.0,-76.47,0.0,80.9,0.0,5.0,100.0,0.0,82.5,0.0,100.0,0.0,-10.0,-8.0
OKLO,catalyst,Nuclear,12,65.45,56.48,-13.71,0.0,50.0,50.0,50.0,100.0,0.0,75.0,4.1,100.0,0.0,-10.0,-8.0
IONQ,cycle,Quantum,12,38.43,56.69,47.51,0.0,81.8,45.6,5.0,75.0,80.0,82.5,28.4,100.0,5.0,-10.0,-8.0
QBTS,catalyst,Quantum,12,16.0,23.52,47.0,0.0,1.1,14.5,5.0,100.0,0.0,100.0,16.7,100.0,-5.0,-10.0,-8.0
RGTI,catalyst,Quantum,12,12.16,19.69,61.92,0.0,23.9,47.0,5.0,75.0,0.0,100.0,40.6,100.0,-5.0,-10.0,-8.0
CRWD,hold_forever,Cyber,12,479.39,644.93,34.53,8.6,58.8,38.4,29.3,100.0,0.0,100.0,3.5,100.0,-5.0,0.0,0.0
PANW,hold_forever,Cyber,12,198.11,260.52,31.5,22.6,29.7,47.4,55.0,100.0,0.0,100.0,16.6,60.0,0.0,0.0,0.0
BWXT,hold_forever,Industrial,12,138.89,188.96,36.05,0.0,16.6,44.2,92.7,100.0,80.0,100.0,0.0,100.0,5.0,0.0,0.0
POWL,cycle,Industrial,12,64.87,283.51,337.04,0.0,89.5,72.4,100.0,50.0,80.0,82.5,70.4,40.0,5.0,-5.0,-5.0
VRT,cycle,Industrial,12,116.35,289.52,148.84,14.9,33.5,43.6,89.0,75.0,80.0,82.5,39.3,60.0,5.0,-5.0,-5.0
FIX,hold_forever,Industrial,12,499.79,1831.56,266.47,0.0,69.9,65.4,100.0,100.0,80.0,82.5,18.7,100.0,5.0,0.0,0.0
RKLB,cycle,SpecGrowth,12,26.55,108.23,307.65,10.9,95.2,100.0,25.6,100.0,40.0,82.5,18.4,100.0,-5.0,-10.0,-5.0
LSCC,cycle,SpecGrowth,12,47.86,137.56,187.42,92.5,11.5,0.0,64.3,50.0,80.0,100.0,67.6,40.0,5.0,-5.0,-5.0
CRDO,cycle,SpecGrowth,12,79.17,234.32,195.97,2.1,95.2,100.0,27.1,100.0,80.0,100.0,10.3,100.0,5.0,-5.0,-5.0
VKTX,catalyst,SpecGrowth,12,26.96,29.23,8.42,100.0,50.0,50.0,50.0,25.0,0.0,100.0,88.0,40.0,0.0,-10.0,-12.0
KTOS,cycle,Defense,12,41.21,56.19,36.35,0.0,19.1,40.2,83.7,100.0,0.0,100.0,2.5,100.0,0.0,-5.0,-5.0
SERV,catalyst,SpecGrowth,12,11.49,6.94,-39.6,95.9,63.4,100.0,5.0,50.0,0.0,60.0,54.2,60.0,0.0,-10.0,-8.0
